request_id,timestamp,function_name,runtime_environment,architecture,memory_mb,cold_start,invocations_count,optimization_strategy,error_rate,execution_duration_ms,total_cost_usd
4432933c-d494-42d9-8b4a-b2b9ea987820,56:14.4,ImageProcess,go1.x,arm64,512,FALSE,972,Memory Tuning,0.021135817,887,5.91334516e-06
440d1816-9f4a-419b-860c-d7945823bfdc,12:12.4,AuthHandler,go1.x,x86_64,1024,0,804,Provisioned Concurrency,0.22893853558264046,420,7.000014e-06
0a21adec-4a74-4e56-95b6-9138bf34ee6b,04:41.4,DataIngest,python3.9,x86_64,1024,TRUE,807,None,0.13821747510432264,1700,2.833339e-05
dbc68e22-3a86-4310-9a99-f938f3438ec5,27:20.4,AuthHandler,java11,arm64,1024,0,624,,0.21760565751653446,369,4.9200098400000004e-06
ce86fe3d-cf1a-43e2-b983-1145bbdf19ae,55:45.4,DataIngest,java11,x86_64,3072,FALSE,754,Memory Tuning,0.02319391,119,5.9500119e-06
5ead6f42-bbac-47ff-ae68-d4a758b9147a,09:55.4,ImageProcess,java11,x86_64,2048,FALSE,241,None,0.14780912284503178,126,4.2000084e-06
45d896f0-7de9-4dba-9f6b-442e39f6c57b,45:39.4,ImageProcess,go1.x,arm64,2048,FALSE,924,None,0.15224725744249853,222,5.920011840000001e-06
73883f0b-4e7e-4380-9901-eba68bcd2adf,38:10.4,DataIngest,python3.9,arm64,2048,0,613,,0.097814309,195,5.200010400000001e-06
b1b5e576-6b2a-4d53-b0af-96207b11e01f,50:00.4,DataIngest,go1.x,arm64,128,FALSE,965,Memory Tuning,0.071311602,4046,6.743346820000001e-06
c389b108-2227-49cd-bd47-c64270d04535,53:55.4,DataIngest,java11,x86_64,128,FALSE,667,Container Image,0.17022111843089235,4204,8.75835085e-06
35620225-dd91-44e5-99ee-9e87c589cade,44:32.4,DataIngest,nodejs18,arm64,1024,FALSE,744,Memory Tuning,0.087811979,490,6.5333464e-06
17ef0b63-d28c-4966-8ac4-339fc5839d83,11:44.4,AuthHandler,nodejs18,x86_64,1024,FALSE,60,None,0.1686494922561154,367,6.1166789e-06
deb8332a-abbb-497d-a275-1585b6360c8d,02:49.4,AuthHandler,nodejs18,x86_64,128,FALSE,492,Provisioned Concurrency,0.08663587,4076,8.49168365e-06
cbd91008-220e-477c-a8b7-cd6fcd8272bc,07:45.4,ImageProcess,nodejs18,x86_64,2048,FALSE,615,Provisioned Concurrency,0.1204896583413089,168,5.6000112000000006e-06
a9eee75a-c329-4aa8-8eda-28fc49e52f9b,34:15.4,DataIngest,python3.9,arm64,3072,TRUE,883,Provisioned Concurrency,0.006757954,988,3.952007904e-05
d71db466-6238-4aa7-b2f8-7d3888682cff,49:14.4,AuthHandler,java11,x86_64,1024,FALSE,678,None,0.099433978,393,6.5500131000000005e-06
23dc97b8-08be-4d67-a6f1-24bae571ea8b,17:17.4,AuthHandler,nodejs18,x86_64,128,TRUE,816,Provisioned Concurrency,0.089461017,4725,9.8437696875e-06
f7e12a24-346e-4cdc-9758-3c2284b547b6,13:12.4,AuthHandler,python3.9,x86_64,3072,FALSE,49,None,0.05734766,49,2.4500049000000002e-06
2dd9c801-7df5-40c7-9687-c9480a3c66f2,26:33.4,AuthHandler,nodejs18,arm64,2048,FALSE,280,Memory Tuning,0.294569566,252,6.7200134400000005e-06
ca554442-e3c7-4ef0-acd6-f2633dbf8ca6,36:10.4,AuthHandler,java11,x86_64,3072,FALSE,114,None,0.014075732682330148,117,5.850011700000001e-06
5cb31e1f-4f9b-456d-b836-9c20ac7cda0d,51:44.4,AuthHandler,java11,x86_64,2048,0,990,None,0.12067081140932791,227,7.566681800000001e-06
301dc3f6-6800-4716-8445-0808a650fe02,27:05.4,ImageProcess,nodejs18,x86_64,1024,FALSE,101,Provisioned Concurrency,0.16162004351546524,457,7.616681900000001e-06
8d5d0612-029e-43b4-ade3-98e7c1d9a9db,14:47.4,AuthHandler,java11,x86_64,2048,FALSE,812,Container Image,0.10727022280042572,186,6.2000124e-06
94ab9165-26ab-47a2-bfa5-fc434d2b54f3,22:17.4,AuthHandler,nodejs18,arm64,512,FALSE,145,None,0.024209242718358767,787,5.24667716e-06
2e6fe981-4acb-497c-a03f-2805a91fbae4,09:29.4,DataIngest,go1.x,x86_64,512,FALSE,438,None,0.085977778,860,7.166681e-06
5bd0c90d-7134-487c-86db-e5ea59a4472a,31:44.4,ImageProcess,go1.x,x86_64,3072,0,28,Container Image,0.027101043441043488,121,6.0500121e-06
78c76097-be18-481b-8663-ae892646fc50,27:44.4,ImageProcess,python3.9,x86_64,3072,FALSE,552,Memory Tuning,0.14667679195055686,88,4.400008800000001e-06
c0239273-de73-4d2c-80eb-8aaf3b59aefe,14:07.4,ImageProcess,java11,arm64,512,FALSE,865,None,0.079847108,822,5.48001096e-06
ac7dffd0-550a-4737-aa66-fffa836c1a0c,43:53.4,DataIngest,go1.x,arm64,2048,FALSE,360,Memory Tuning,0.085496862,286,7.62668192e-06
b4f9cc72-c4b7-4ba6-be3e-352bfafa8820,38:05.4,ImageProcess,nodejs18,arm64,3072,FALSE,250,,0.043302871,160,6.4000128e-06
935d065d-9907-4307-9731-8361cf062d5f,38:53.4,ImageProcess,python3.9,x86_64,3072,FALSE,456,Provisioned Concurrency,0.000762267,94,4.700009400000001e-06
19aba3fe-5df9-43e4-ad64-a8f62538d066,08:14.4,ImageProcess,,arm64,3072,FALSE,815,None,0.028183293356409025,206,8.24001648e-06
013ba520-7563-4143-bfdf-dd7af0143084,53:52.4,ImageProcess,java11,x86_64,128,FALSE,2,None,0.28455649026635205,4226,8.804184275000001e-06
daddd155-b8d7-4d92-a9e3-d8cfe0432f52,58:00.4,ImageProcess,nodejs18,x86_64,128,TRUE,436,Memory Tuning,0.15189583500381465,5469,1.1393772787500002e-05
a3619a8d-5f88-4b4d-988d-a44261b51b1c,37:45.4,AuthHandler,go1.x,x86_64,512,FALSE,45,Provisioned Concurrency,0.040729279,780,6.500013e-06
81785f51-edc7-4c31-a3f9-08384d27c5be,10:51.4,AuthHandler,,arm64,2048,FALSE,126,None,0.15716769086350144,170,4.533342400000001e-06
510a4bd3-772f-497a-8662-0f510895a09f,54:49.4,ImageProcess,,x86_64,2048,FALSE,900,None,0.20427356865437807,254,8.466683600000001e-06
2bb729a0-37ef-432b-b0f6-da297421ee3a,58:15.4,ImageProcess,python3.9,x86_64,2048,TRUE,265,None,0.1496530959783266,694,2.31333796e-05
91aaa9a0-62bc-434d-a52a-d3770c5ac41f,04:57.4,DataIngest,java11,x86_64,512,FALSE,883,Memory Tuning,0.042121483,792,6.600013200000001e-06
a85d351a-8d8d-4a6a-a3be-08b6cc6095e3,24:16.4,ReportGen,,x86_64,512,0,499,None,0.076623109,829,6.90834715e-06
dc1a10d1-9ff2-4ef4-8533-08c0e0d9b9af,34:13.4,AuthHandler,nodejs18,x86_64,3072,0,911,Memory Tuning,0.044331241939341647,145,7.2500145e-06
