request_id,timestamp,function_name,runtime_environment,architecture,memory_mb,cold_start,invocations_count,optimization_strategy,error_rate,execution_duration_ms,total_cost_usd
4432933c-d494-42d9-8b4a-b2b9ea987820,2024-01-01 00:00:00.000000,ImageProcess,go1.x,arm64,512,0,972,Memory Tuning,0.021135817,887.0,5.91334516e-06
440d1816-9f4a-419b-860c-d7945823bfdc,2024-01-01 00:06:28.819440,AuthHandler,go1.x,x86_64,1024,0,804,Provisioned Concurrency,0.2289385355826404,420.0,7.000014e-06
0a21adec-4a74-4e56-95b6-9138bf34ee6b,2024-01-01 00:12:57.638881,DataIngest,python3.9,x86_64,1024,1,807,None,0.1382174751043226,1700.0,2.833339e-05
dbc68e22-3a86-4310-9a99-f938f3438ec5,2024-01-01 00:19:26.458322,AuthHandler,java11,arm64,1024,0,624,None,0.2176056575165344,369.0,4.92000984e-06
ce86fe3d-cf1a-43e2-b983-1145bbdf19ae,2024-01-01 00:25:55.277763,DataIngest,java11,x86_64,3072,0,754,Memory Tuning,0.02319391,119.0,5.9500119e-06
5ead6f42-bbac-47ff-ae68-d4a758b9147a,2024-01-01 00:32:24.097204,ImageProcess,java11,x86_64,2048,0,241,None,0.1478091228450317,126.0,4.2000084e-06
45d896f0-7de9-4dba-9f6b-442e39f6c57b,2024-01-01 00:38:52.916645,ImageProcess,go1.x,arm64,2048,0,924,None,0.1522472574424985,222.0,5.920011840000001e-06
73883f0b-4e7e-4380-9901-eba68bcd2adf,2024-01-01 00:45:21.736086,DataIngest,python3.9,arm64,2048,0,613,None,0.097814309,195.0,5.200010400000001e-06
b1b5e576-6b2a-4d53-b0af-96207b11e01f,2024-01-01 00:51:50.555527,DataIngest,go1.x,arm64,128,0,965,Memory Tuning,0.071311602,4046.0,6.743346820000001e-06
c389b108-2227-49cd-bd47-c64270d04535,2024-01-01 00:58:19.374968,DataIngest,java11,x86_64,128,0,667,Container Image,0.1702211184308923,4204.0,8.75835085e-06
35620225-dd91-44e5-99ee-9e87c589cade,2024-01-01 01:04:48.194409,DataIngest,nodejs18,arm64,1024,0,744,Memory Tuning,0.087811979,490.0,6.5333464e-06
17ef0b63-d28c-4966-8ac4-339fc5839d83,2024-01-01 01:11:17.013850,AuthHandler,nodejs18,x86_64,1024,0,60,None,0.1686494922561154,367.0,6.1166789e-06
deb8332a-abbb-497d-a275-1585b6360c8d,2024-01-01 01:17:45.833291,AuthHandler,nodejs18,x86_64,128,0,492,Provisioned Concurrency,0.08663587,4076.0,8.49168365e-06
cbd91008-220e-477c-a8b7-cd6fcd8272bc,2024-01-01 01:24:14.652732,ImageProcess,nodejs18,x86_64,2048,0,615,Provisioned Concurrency,0.1204896583413089,168.0,5.6000112000000006e-06
a9eee75a-c329-4aa8-8eda-28fc49e52f9b,2024-01-01 01:30:43.472173,DataIngest,python3.9,arm64,3072,1,883,Provisioned Concurrency,0.006757954,988.0,3.952007904e-05
d71db466-6238-4aa7-b2f8-7d3888682cff,2024-01-01 01:37:12.291614,AuthHandler,java11,x86_64,1024,0,678,None,0.099433978,393.0,6.5500131000000005e-06
23dc97b8-08be-4d67-a6f1-24bae571ea8b,2024-01-01 01:43:41.111055,AuthHandler,nodejs18,x86_64,128,1,816,Provisioned Concurrency,0.089461017,4725.0,9.8437696875e-06
f7e12a24-346e-4cdc-9758-3c2284b547b6,2024-01-01 01:50:09.930496,AuthHandler,python3.9,x86_64,3072,0,49,None,0.05734766,49.0,2.4500049e-06
2dd9c801-7df5-40c7-9687-c9480a3c66f2,2024-01-01 01:56:38.749937,AuthHandler,nodejs18,arm64,2048,0,280,Memory Tuning,0.294569566,252.0,6.7200134400000005e-06
ca554442-e3c7-4ef0-acd6-f2633dbf8ca6,2024-01-01 02:03:07.569378,AuthHandler,java11,x86_64,3072,0,114,None,0.0140757326823301,117.0,5.850011700000001e-06
5cb31e1f-4f9b-456d-b836-9c20ac7cda0d,2024-01-01 02:09:36.388819,AuthHandler,java11,x86_64,2048,0,990,None,0.1206708114093279,227.0,7.566681800000001e-06
301dc3f6-6800-4716-8445-0808a650fe02,2024-01-01 02:16:05.208260,ImageProcess,nodejs18,x86_64,1024,0,101,Provisioned Concurrency,0.1616200435154652,457.0,7.616681900000001e-06
8d5d0612-029e-43b4-ade3-98e7c1d9a9db,2024-01-01 02:22:34.027701,AuthHandler,java11,x86_64,2048,0,812,Container Image,0.1072702228004257,186.0,6.2000124e-06
94ab9165-26ab-47a2-bfa5-fc434d2b54f3,2024-01-01 02:29:02.847142,AuthHandler,nodejs18,arm64,512,0,145,None,0.0242092427183587,787.0,5.24667716e-06
2e6fe981-4acb-497c-a03f-2805a91fbae4,2024-01-01 02:35:31.666583,DataIngest,go1.x,x86_64,512,0,438,None,0.085977778,860.0,7.166681e-06
5bd0c90d-7134-487c-86db-e5ea59a4472a,2024-01-01 02:42:00.486024,ImageProcess,go1.x,x86_64,3072,0,28,Container Image,0.0271010434410434,121.0,6.0500121e-06
78c76097-be18-481b-8663-ae892646fc50,2024-01-01 02:48:29.305465,ImageProcess,python3.9,x86_64,3072,0,552,Memory Tuning,0.1466767919505568,88.0,4.400008800000001e-06
c0239273-de73-4d2c-80eb-8aaf3b59aefe,2024-01-01 02:54:58.124906,ImageProcess,java11,arm64,512,0,865,None,0.079847108,822.0,5.48001096e-06
ac7dffd0-550a-4737-aa66-fffa836c1a0c,2024-01-01 03:01:26.944347,DataIngest,go1.x,arm64,2048,0,360,Memory Tuning,0.085496862,286.0,7.62668192e-06
b4f9cc72-c4b7-4ba6-be3e-352bfafa8820,2024-01-01 03:07:55.763788,ImageProcess,nodejs18,arm64,3072,0,250,None,0.043302871,160.0,6.4000128e-06
935d065d-9907-4307-9731-8361cf062d5f,2024-01-01 03:14:24.583229,ImageProcess,python3.9,x86_64,3072,0,456,Provisioned Concurrency,0.000762267,94.0,4.700009400000001e-06
19aba3fe-5df9-43e4-ad64-a8f62538d066,2024-01-01 03:20:53.402670,ImageProcess,java11,arm64,3072,0,815,None,0.028183293356409,206.0,8.24001648e-06
013ba520-7563-4143-bfdf-dd7af0143084,2024-01-01 03:27:22.222111,ImageProcess,java11,x86_64,128,0,2,None,0.284556490266352,4226.0,8.804184275000001e-06
daddd155-b8d7-4d92-a9e3-d8cfe0432f52,2024-01-01 03:33:51.041552,ImageProcess,nodejs18,x86_64,128,1,436,Memory Tuning,0.1518958350038146,5119.049999999992,1.1393772787500002e-05
a3619a8d-5f88-4b4d-988d-a44261b51b1c,2024-01-01 03:40:19.860993,AuthHandler,go1.x,x86_64,512,0,45,Provisioned Concurrency,0.040729279,780.0,6.500013e-06
81785f51-edc7-4c31-a3f9-08384d27c5be,2024-01-01 03:46:48.680434,AuthHandler,java11,arm64,2048,0,126,None,0.1571676908635014,170.0,4.533342400000001e-06
510a4bd3-772f-497a-8662-0f510895a09f,2024-01-01 03:53:17.499874,ImageProcess,java11,x86_64,2048,0,900,None,0.204273568654378,254.0,8.466683600000001e-06
2bb729a0-37ef-432b-b0f6-da297421ee3a,2024-01-01 03:59:46.319315,ImageProcess,python3.9,x86_64,2048,1,265,None,0.1496530959783266,694.0,2.31333796e-05
91aaa9a0-62bc-434d-a52a-d3770c5ac41f,2024-01-01 04:06:15.138756,DataIngest,java11,x86_64,512,0,883,Memory Tuning,0.042121483,792.0,6.600013200000001e-06
a85d351a-8d8d-4a6a-a3be-08b6cc6095e3,2024-01-01 04:12:43.958197,ReportGen,java11,x86_64,512,0,499,None,0.076623109,829.0,6.90834715e-06
dc1a10d1-9ff2-4ef4-8533-08c0e0d9b9af,2024-01-01 04:19:12.777638,AuthHandler,nodejs18,x86_64,3072,0,911,Memory Tuning,0.0443312419393416,145.0,7.2500145e-06
288bdac9-4f8e-4395-9b1a-c3cdad11f514,2024-01-01 04:25:41.597079,AuthHandler,python3.9,x86_64,1024,0,512,Provisioned Concurrency,0.084454386,419.0,6.9833473e-06
4942f977-ce2e-4107-af58-b39aacc0d4de,2024-01-01 04:32:10.416520,ImageProcess,go1.x,x86_64,1024,0,939,None,0.1045387451704487,373.0,6.2166791e-06
1d38be3d-d61a-4fb1-907a-f21f4a4f85c0,2024-01-01 04:38:39.235961,AuthHandler,nodejs18,x86_64,3072,0,177,None,0.087443379,47.0,2.3500047000000005e-06
c8a0d016-d927-415c-9a3c-3472591e4b7b,2024-01-01 04:45:08.055402,ImageProcess,python3.9,x86_64,512,0,214,None,0.0371828512811863,771.0,6.42501285e-06
81c9572b-5c65-4437-92e3-f4d1e07fdebe,2024-01-01 04:51:36.874843,AuthHandler,python3.9,arm64,1024,0,206,None,0.4287803873510226,368.0,4.90667648e-06
20d4a3e5-5b33-485b-8c4f-a1446c780b3d,2024-01-01 04:58:05.694284,DataIngest,java11,x86_64,3072,0,970,Provisioned Concurrency,0.096564069,130.0,6.500013e-06
745a94c9-2c11-49f6-bc47-4de1bf6a890d,2024-01-01 05:04:34.513725,ImageProcess,python3.9,arm64,2048,0,178,None,0.018533871,244.0,6.50667968e-06
